Date,Description,Amount,Balance
01/10/2024,Direct Deposit - SALARY,4500,5200
02/10/2024,Uber Technologies San Francisco CA,-45.5,5154.5
03/10/2024,Starbucks Store 12093,-6.5,5148
05/10/2024,DRAFTKINGS *SPORTSBOOK MA,-250,4898
06/10/2024,ATM WITHDRAWAL 8011 NYC,-800,4098
08/10/2024,Payment to Chase Credit Card,-1200,2898
10/10/2024,MGM GRAND CASINO LV,-600,2298
12/10/2024,Trader Joes Grocery,-125.4,2172.6
15/10/2024,NON-SUFFICIENT FUNDS FEE,-35,2137.6
15/10/2024,OVERDRAFT PROTECTION TRANSFER,100,2237.6
18/10/2024,Venmo Cashout,-50,2187.6
20/10/2024,BETMGM ONLINE,-300,1887.6
22/10/2024,Rent Payment Oct,-2500,-612.4
23/10/2024,NSF RETURN ITEM FEE,-35,-647.4
24/10/2024,Deposit - Transfer from Savings,700,52.6
